Product Name,Product Type,Product Price,Color,Processor Type,RAM(GB),Storage Capacity,Screen Size(inch),Display Resolution,Touch Display,Network and Communication,Operating System,Battery Type,Warranty Period(Months)
Microsoft Surface Pro 9,2-in-1,6799,Graphite,Intel Core i7-1265U (12th Gen) Evo Platform,16,512GB SSD M.2,13.0,2880X1920 (267 PPI),True,WiFi 6E (802.11ax) and Bluetooth 5.1,Windows 11 Home,Up to 15.5 hours of typical device usage,24.0
Acer Travelmate TMP215-53-596G,Business,1899,Shale Black,Intel Core i5-1135G7 (11th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.0,Dos,Lithium Ion (Li-Ion),36.0
HP 15-fd0021nx,standard,1149,Natural Silver,Intel Core i3-1315U (13th Gen),4,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"3-cell, 41 Wh Li-ion",24.0
MacBook Air M2 15.3 2023,standard,4499,Midnight,Apple M2 chip,8,256GB SSD,15.3,Liquid Retina 2880x1864,False,Wi-Fi 6 + Bluetooth 5.3,macOS Ventura,Up to 18 hours of typical device usage,24.0
Acer Aspire 3 A315-58-74GF,standard,1999,Pure Silver,Intel Core i7-1165G7 (11th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,36Wh Li-ion battery,24.0
Asus ROG Zephyrus GU603VV-N4078W,Gaming,7199,Eclipse Gray,Intel Core i7-13620H (13th Gen),32,1TB SSD M.2,16.0,2560 x1600 QHD,False,WiFi 6E + Bluetooth 5.3,Windows 11 Home,"90WHrs, 4S1P, 4-cell Li-ion",24.0
HP Elite Dragonfly G3,Business,6999,Slate blue,Intel Core i7-1255U (12th Gen),16,512GB SSD M.2,13.5,"WUXGA+ 1920x1280, IPS",True,Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,Windows 11 Professional,"HP Long Life 6-cell, 68 Wh Li-ion polymer",36.0
Apple MacBook Pro M3,standard,7199,Silver,Apple M3 chip,8,512GB SSD,14.2,3024x1964,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,70-watt-hour lithium-polymer battery,24.0
ThinkPad E15 Gen 4,Business,7199,Black,Intel Core i7-1255U (12th Gen),8,512GB SSD,15.6,1920 x 1080 FHD IPS,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Lithium 3 Cell,24.0
HP EliteBook 640 14 inch G9,Business,3299,Silver,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,14.0,1920 x 1080 FHD IPS,False,Wi-Fi 6E AX211 (2x2) and Bluetooth 5.3,Dos,"HP Long Life 3-cell, 51 Wh Li-ion",36.0
Acer Aspire Lite AL14-31P-34U9,standard,1299,Silver,Intel Core i3-N300,8,512GB SSD M.2,14.0,1920x1200,False,Wi-Fi + Bluetooth,Dos,Integrated 45Wh,24.0
Acer Aspire 3 A315-59-58XR,standard,1499,Pure Silver,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,50Wh Li-ion battery,24.0
Lenovo IdeaPad Flex 5 14IRU8,2-in-1,3299,Arctic Grey,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,14.0,1920x1200,True,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Windows 11 Home,Integrated 52.5Wh,24.0
Dell Latitude 3540,Business,3299,Black,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3 Cell, Integrated 42Wh",24.0
Microsoft Surface Pro 9,2-in-1,3899,Platinum,Intel Core i5-1245U (12th Gen) Evo Platform,8,256GB SSD M.2,13.0,2880X1920 (267 PPI),True,WiFi 6E (802.11ax) and Bluetooth 5.1,Windows 11 Home,Up to 15.5 hours of typical device usage,24.0
HP 15s-fq5037nx,standard,2399,Natural Silver,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3-cell, 41 Wh Li-ion",24.0
Dell Latitude 5540,Business,2399,Gray,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,"Intel Wi-Fi 6E AX211, 2x2, 802.11ax, Bluetooth wireless card",Dos,"3 Cell, integrated 54Wh",24.0
Lenovo Yoga 7 14IRL8,2-in-1,4399,Storm Grey,Intel Core i7-1360P (13th Gen),16,512GB SSD M.2,14.0,1920x1200,True,"Wi-Fi 6E, 11ax 2x2 + Bluetooth 5.1",Windows 11 Home,Integrated 71Wh,24.0
Microsoft Surface Studio,Business,4999,Platinum,Quad-core Intel Core H35 i5-11300H (11th Gen),16,256GB SSD,14.4,2400×1600,True,Wi-Fi 6 + Bluetooth 5.1,Windows 11 Home,Up to 19 hours of typical device usage,24.0
Asus Vivobook X1502ZA-EJ289,standard,1149,Icelight Silver,Intel Core i3-1215U (12th Gen),4,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
Lenovo Legion 5 Pro 16IRX9,Gaming,7499,Onyx Grey,Intel Core i7-14700HX (14th Generation),16,1TB SSD M.2,16.0,2560x1600 WQXGA,False,WiFi 6E + Bluetooth 5.2,Windows 11 Home,Integrated 80Wh,24.0
Acer Aspire 3 A315-59-74JV,standard,1899,Pure Silver,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,50Wh Li-ion battery,24.0
Latitude 3450,Business,1899,Black,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,14.0,1920x1080,False,"Intel Wi-Fi 6E AX211, 2x2, 802.11ax, Bluetooth wireless card",Dos,"3 Cell, integrated 54Wh",24.0
HP Victus Gaming 16-r0007nx,Gaming,5099,Mica Silver,Intel Core i7-13700H (13th Gen),32,1TB SSD M.2,16.1,1920x1080,False,WiFi 6E + Bluetooth 5.3,Dos,"4-cell, 70 Wh Li-ion polymer",24.0
Apple MacBook Pro 16-Inch M3 Pro,standard,11299,Space Black,Apple M3 Pro chip,18,512GB SSD,16.2,3456x2234,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,100-watt-hour lithium-polymer battery,24.0
ThinkBook 15 G4 IAP,Business,11299,Mineral Grey,Intel Core i7-1255U (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Windows 11 Professional,Lithium 3 Cell,36.0
apple MacBook Air M2 (2024),standard,11299,Steel Gray,Apple M2 chip,16,256GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6 + Bluetooth 5.3,macOS Monterey,52.6-watt‑hour lithium‑polymer battery,24.0
Acer Aspire 3 A315-59-31LZ,standard,1149,Pure Silver,Intel Core i3-1215U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,50Wh Li-ion battery,24.0
Lenovo Legion 5 Pro 16IRX9,Gaming,8499,Onyx Grey,Intel Core i9-14900HX (14th Generation),32,1TB SSD M.2,16.0,2560x1600 WQXGA,False,WiFi 6E + Bluetooth 5.2,Windows 11 Home,Integrated 80Wh,24.0
Lenovo LOQ 15IRX9 Gaming,Gaming,3999,Luna Grey,Intel Core i7-13650HX (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,Integrated 60Wh,24.0
HP 15-fd0019nx,standard,2499,Natural Silver,Intel Core i7-1355U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"3-cell, 41 Wh Li-ion",24.0
Legion Go,Gaming,2999,Shadow Black,Extreme,16,512GB SSD M.2,8.8,2560x1600 WQXGA,True,"AMD Wi-Fi 6E RZ616, 11ax 2x2 + Bluetooth 5.3",Windows 11 Home,Li-Polymer 49.2Wh,24.0
Asus ROG Strix G16 G614JIR-N4003,Gaming,7799,Eclipse Gray,Intel Core i9-14900HX (14th Generation),32,1TB SSD M.2,16.0,2560x1600 WQXGA,False,WiFi 6E + Bluetooth 5.3,Dos,"90WHrs, 4S1P, 4-cell Li-ion",24.0
ThinkBook 15 G4 IAP,Business,7799,Mineral Grey,Intel Core i5-1235U (12th Gen),4,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Windows 11 Professional,Lithium 3 Cell,36.0
Lenovo IdeaPad Slim 3 15IRH8,standard,2099,Arctic Grey,Intel Core i5-13420H (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Windows 11 Home,Integrated 47Wh,24.0
Lenovo Legion 7 16IRX9,Gaming,8999,Eclipse Black,Intel Core i9-14900HX (14th Generation),32,1TB SSD M.2,16.0,3200x2000,False,"Wi-Fi 6E, 802.11ax 2x2 + Bluetooth 5.3",Windows 11 Home,Integrated 99.9Wh,24.0
HP 15-fd0018nx,standard,2499,Natural Silver,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"3-cell, 41 Wh Li-ion",24.0
Acer Aspire 3 A315-44P-R4GH,standard,1549,Pure Silver,AMD Ryzen 7-5700U,8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,50Wh Li-ion battery,24.0
Asus Vivobook X1500EA-BQ3643,standard,1399,Indie Black,Intel Core i5-1135G7 (11th Gen),4,256GB SSD M.2 + 16GB Intel Optane Memory,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,Lithium Ion (Li-Ion) 2 Cell,24.0
Dell Inspiron 15 3520,standard,2099,Black,Intel Core i5-1135G7 (11th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Windows 11 Home,"3-cell, 41 Wh Li-ion",24.0
Dell Inspiron 14 7430 2-in-1,2-in-1,2799,Platinum Silver,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,14.0,1920x1200 Full HD,True,"Intel Wi-Fi 6E AX211, 2x2, 802.11ax, Bluetooth wireless card",Windows 11 Home,"4 Cell, integrated 54Wh",24.0
ThinkPad T14 Gen 5 (Intel),Business,2799,Black,Intel Core Ultra 7-150U,16,512GB SSD M.2,14.0,1920x1200,False,"Intel Wi-Fi 6E AX211, 11ax 2x2 + Bluetooth 5.3",Windows 11 Professional,Integrated 52.5Wh,36.0
Acer Aspire 3 A315-58-56K8,standard,1499,Pure Silver,Intel Core i5-1135G7 (11th Gen),8,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,48Wh Li-ion battery,24.0
Dell Latitude 3540,Business,1499,Black,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3 Cell, Integrated 42Wh",24.0
Asus Vivobook X1605XA-MB101,standard,2499,Cool Silver,AMD Ryzen 9-7940HS,16,512GB SSD M.2,16.0,WUXGA 1920x1200 IPS,False,Wi-Fi 5 + Bluetooth 5.1,Dos,"3-cell Li-ion, 50WHrs, 3S1P",24.0
Acer Nitro V 15 ANV15-51-76QR,Gaming,3699,Obsidian Black,Intel Core i7-13620H (13th Gen),16,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,57Wh Li-ion battery,24.0
apple MacBook Air M2 (2024),standard,3699,Midnight,Apple M2 chip,16,256GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6 + Bluetooth 5.3,macOS Monterey,52.6-watt‑hour lithium‑polymer battery,24.0
Asus X415EA-EK616,standard,1449,Slate Grey,Intel Core i5-1135G7 (11th Gen),4,256GB SSD M.2,14.0,1920x1080,False,Wi-Fi + Bluetooth,Dos,Lithium 2 Cell,24.0
HP ProBook 450 15.6 inch G9 Notebook PC,Business,1999,Silver,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920 x 1080 FHD IPS,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"HP Long Life 3-cell, 42 Wh Li-ion",24.0
Acer Nitro 5 AN515-58-937L,Gaming,4549,Obsidian Black,Intel Core i9-12900H (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,57Wh Li-ion battery,24.0
IdeaPad Gaming 3 15IAH7,Gaming,3999,Onyx Grey,Intel Core i7-12650H (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
MacBook Air M2 15.3,standard,4999,Starlight,Apple M2 chip,8,256GB SSD,15.3,Liquid Retina 2880x1864,False,Wi-Fi 6 + Bluetooth 5.3,macOS Ventura,Up to 18 hours of typical device usage,24.0
E510MA-BR1567,standard,849,Dreamy White,Intel Celeron N4020,4,256GB SSD M.2,15.6,1366 x 768 HD,False,Wi-Fi + Bluetooth,Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
ThinkPad X1 Carbon Gen 11,Business,849,Deep Black,Intel Core i7-1355U (13th Gen),32,1TB SSD M.2,14.0,WUXGA 1920x1200 IPS,False,"Intel Wi-Fi 6E AX211, 11ax 2x2 + Bluetooth 5.3",Windows 11 Professional,Integrated 57Wh,36.0
Dell Latitude 3440,Business,849,Black,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3 Cell, Integrated 42Wh",24.0
Acer Aspire Lite AL16-51P-598C,standard,1699,Steel Gray,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,16.0,1920x1200,False,Wi-Fi + Bluetooth,Dos,Integrated 58Wh,24.0
Dell G15 5530 Gaming,Gaming,5399,Dark Shadow Grey,Intel Core i7-13650HX (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"6-Cell Battery, 86WH, integrated",24.0
Asus Vivobook X1605VA-FPSK60,standard,2849,Cool Silver,Intel Core i9-13900H (13th Gen),16,512GB SSD M.2,16.0,WUXGA 1920x1200 IPS,False,Wi-Fi 5 + Bluetooth 5.1,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
HP Victus Gaming 16-r0008nx,Gaming,4799,Mica Silver,Intel Core i7-13700H (13th Gen),32,1TB SSD M.2,16.1,1920x1080,False,WiFi 6E + Bluetooth 5.3,Dos,"4-cell, 70 Wh Li-ion polymer",24.0
Apple MacBook Pro 14-inch M3 chip,standard,8299,Space Gray,Apple M3 chip,16,512GB SSD,14.2,3024x1964,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,70-watt-hour lithium-polymer battery,24.0
Dell G15 5530 Gaming,Gaming,3899,Dark Shadow Grey,Intel Core i7-13650HX (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3 Cell, integrated 56Wh",24.0
Asus EXPERTBOOK B1400CBA-EB0355,Business,2299,Star Black,Intel Core i7-1255U (12th Gen),16,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
Dell Inspiron 15 3520,standard,1899,Black,Intel Core i5-1135G7 (11th Gen),8,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Windows 11 Home,"3-cell, 41 Wh Li-ion",24.0
Asus Vivobook X1502ZA-EJ1359,standard,2349,Quiet Blue,Intel Core i7-12700H (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,"3 Cell, Integrated 42Wh",24.0
Apple MacBook Pro M3,standard,7199,Space Gray,Apple M3 chip,8,512GB SSD,14.2,3024x1964,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,70-watt-hour lithium-polymer battery,24.0
Apple MacBook Pro 14-Inch M3 Pro,standard,10999,Silver,Apple M3 Pro chip,18,1TB SSD,14.2,4480x2520,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,72.4-watt-hour lithium-polymer battery,24.0
HP 255 G9,Business,1799,Asteroid Silver,AMD Ryzen 7-5825U,8,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,"3-cell, 41 Wh Li-ion",24.0
ASUS ROG Strix G15 G513RC-HN148,Gaming,3699,ECLIPSE GRAY,AMD Ryzen 7-6800H,16,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 6E (802.11ax) (Triple band) 2*2 + Bluetooth 5.3,Dos,"56WHrs, 4S1P, 4-cell Li-ion",24.0
apple MacBook Air M2,standard,4999,Starlight,Apple M2 chip,8,512GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6 + Bluetooth 5.0,macOS Monterey,Lithium Polymer (Li-Po),24.0
IdeaPad 1 15IAU7,standard,2199,Cloud Grey,Intel Core i7-1255U (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"3 Cell, Integrated 42Wh",24.0
Acer Nitro 5 AN515-58-77NB,Gaming,3799,Obsidian Black,Intel Core i7-12650H (12th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,57Wh Li-ion battery,24.0
Asus ExpertBook B1 (B1402CVA-I716512B0D - 13th Gen Intel),Business,2499,Star Black,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
Acer Aspire 3 A315-58-58PT,standard,1499,Electric Blue,Intel Core i5-1135G7 (11th Gen),8,256GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Dos,Lithium Ion (Li-Ion),24.0
HP 250 G10,standard,1849,Turbo silver with Aluminum Top Cover,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.3,Dos,"HP Long Life 3-cell, 41 Wh Li-ion",24.0
IdeaPad Slim 3 16IAH8,standard,1749,Arctic Grey,Intel Core i5-12450H (12th Gen),8,512GB SSD M.2,16.0,WUXGA 1920x1200 IPS,False,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Dos,Integrated 47Wh,24.0
Asus Vivobook X1500EA-EJ3652,standard,1599,Transparent Silver,Intel Core i5-1135G7 (11th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,Lithium Ion (Li-Ion) 2 Cell,24.0
ASUS ROG Strix G15 G513RC-HN092,Gaming,3699,ECLIPSE GRAY,AMD Ryzen 7-6800H,16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6E (802.11ax) (Triple band) 2*2 + Bluetooth 5.3,Dos,"56WHrs, 4S1P, 4-cell Li-ion",24.0
Yoga 9 14IAP7,2-in-1,5499,Oatmeal,Intel Core i7-1260P (12th Gen),16,1TB SSD M.2,14.0,3840 x 2400 WQUXGA,True,"Wi-Fi 6E, 11ax 2x2 + Bluetooth 5.1",Windows 11 Home,"4 Cell, Integrated 70Wh",24.0
ThinkBook 14 G4 IAP,Business,5499,Mineral Grey,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,14.0,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Windows 11 Professional,Lithium 3 Cell,36.0
Microsoft Surface Pro 9,2-in-1,3499,Green,Intel Core i5-1245U (12th Gen) Evo Platform,8,256GB SSD M.2,13.0,2880X1920 (267 PPI),True,WiFi 6E (802.11ax) and Bluetooth 5.1,Windows 11 Home,Up to 15.5 hours of typical device usage,24.0
Lenovo IdeaPad Flex 5 14IRU8,2-in-1,2699,Arctic Grey,Intel Core i5-1335U (13th Gen),8,512GB SSD M.2,14.0,1920x1200,True,"Wi-Fi 6 11ax, 2x2 + Bluetooth 5.1",Windows 11 Home,Integrated 52.5Wh,24.0
Huawei Matebook B3-420,Business,1999,Space Gray,Intel Core i5-1135G7 (11th Gen),16,512GB SSD M.2,14.0,1920 x 1080 FHD IPS,False,Wi-Fi 6 + Bluetooth 5.1,Windows 10 Professional,Lithium Polymer (Li-Po),24.0
Asus Vivobook X1502ZA-EJ1038,standard,1599,Icelight Silver,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 5 (802.11ac) (Dual band) 1*1 + Bluetooth 5.1,Dos,Lithium Ion (Li-Ion) 3 Cell,24.0
ThinkPad T14s Gen 4 (Intel),Business,1599,Deep Black,Intel Core i7-1355U (13th Gen),16,512GB SSD M.2,14.0,1920x1200,False,"Intel Wi-Fi 6E AX211, 11ax 2x2 + Bluetooth 5.3",Windows 11 Professional,Integrated 57Wh,36.0
Asus Vivobook S15 S5507QA-MA001W,standard,4699,Cool Silver,Snapdragon X Elite X1E 78 100,32,1TB SSD M.2,15.6,2880x1620,False,Wi-Fi 7 + Bluetooth 5.4,Windows 11 Home,"3-cell Li-ion, 50WHrs, 3S1P",24.0
ThinkPad X1 Carbon Gen 11,Business,4699,Deep Black,Intel Core i7-1355U (13th Gen),16,1TB SSD M.2,14.0,WUXGA 1920x1200 IPS,False,"Intel Wi-Fi 6E AX211, 11ax 2x2 + Bluetooth 5.3",Windows 11 Professional,Integrated 57Wh,36.0
Asus TUF Gaming FX507ZC4-HN007,Gaming,3799,Mecha Gray,Intel Core i7-12700H (12th Gen),16,1TB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 (802.11ax)+Bluetooth 5.2 (Dual band) 2*2,Dos,"56WHrs, 4S1P, 4-cell Li-ion",24.0
Dell Vostro 15 3520,Business,2649,Black,Intel Core i7-1255U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi + Bluetooth,Windows 11 Home,"4 Cell, integrated 54Wh",24.0
apple MacBook Air M2,standard,5299,Silver,Apple M2 chip,8,512GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6 + Bluetooth 5.0,macOS Monterey,Lithium Polymer (Li-Po),24.0
Acer Nitro V 15 ANV15-51-59U0,Gaming,2999,Obsidian Black,Intel Core i5-13420H (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.1,Dos,57Wh Li-ion battery,24.0
Apple MacBook Air M3,standard,5699,Space Gray,Apple M3 chip,8,512GB SSD,13.6,Liquid Retina 2560x1664,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,macOS Sonoma,52.6-watt‑hour lithium‑polymer battery,24.0
Lenovo IdeaPad 1 15IAU7,standard,1749,ABYSS Blue,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,"3 Cell, Integrated 42Wh",24.0
Huawei Matebook B3-420,Business,1849,Space Gray,Intel Core i5-1135G7 (11th Gen),8,512GB SSD M.2,14.0,1920 x 1080 FHD IPS,False,Wi-Fi 6 + Bluetooth 5.1,Windows 10 Professional,Lithium Polymer (Li-Po),24.0
Lenovo Legion Pro 5 16IRX9,Gaming,6999,Luna Grey,Intel Core i9-14900HX (14th Generation),32,1TB SSD M.2,16.0,2560x1600 WQXGA,False,WiFi 6E + Bluetooth 5.2,Dos,Integrated 80Wh,24.0
Asus ExpertBook B1 (B1502CBA-NJ2034 - 12th Gen Intel),Business,1899,Star Black,Intel Core i5-1235U (12th Gen),8,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6E (802.11ax) + Bluetooth 5.3,Dos,"3-cell Li-ion, 42WHrs, 3S1P",24.0
IdeaPad Slim 3 15IRH8,standard,2399,Arctic Grey,Intel Core i7-13620H (13th Gen),16,512GB SSD M.2,15.6,1920x1080,False,Wi-Fi 6 + Bluetooth 5.2,Dos,Integrated 47Wh,24.0
Microsoft Surface Pro 9,2-in-1,3699,Graphite,Intel Core i5-1245U (12th Gen) Evo Platform,8,256GB SSD M.2,13.0,2880X1920 (267 PPI),True,WiFi 6E (802.11ax) and Bluetooth 5.1,Windows 11 Home,Up to 15.5 hours of typical device usage,24.0
